seed,func,d,min
15435,Griewank,20,1.00E+00
25313,Griewank,20,1.00E+00
37573,Griewank,20,1.00E+00
52211,Griewank,20,1.00E+00
69250,Griewank,20,1.00E+00
88866,Griewank,20,1.00E+00
111075,Griewank,20,1.00E+00
135748,Griewank,20,1.00E+00
162835,Griewank,20,1.00E+00
192338,Griewank,20,1.00E+00
224320,Griewank,20,1.00E+00
258698,Griewank,20,1.00E+00
295490,Griewank,20,1.00E+00
334663,Griewank,20,1.00E+00
376271,Griewank,20,1.00E+00
420279,Griewank,20,1.00E+00
466706,Griewank,20,1.00E+00
515583,Griewank,20,1.00E+00
566913,Griewank,20,1.00E+00
620838,Griewank,20,1.00E+00
677318,Griewank,20,1.00E+00
736263,Griewank,20,1.00E+00
797723,Griewank,20,1.00E+00
861591,Griewank,20,1.00E+00
927870,Griewank,20,1.00E+00
996556,Griewank,20,1.00E+00
1067642,Griewank,20,1.00E+00
76,Levy,10,5.76E-06
2815,Levy,10,2.51E-06
7933,Levy,10,7.87E-07
15435,Levy,10,1.57E-07
25313,Levy,10,1.68E-08
37573,Levy,10,4.41E-07
52211,Levy,10,1.40E-06
69250,Levy,10,4.49E-06
88866,Levy,10,5.42E-06
111075,Levy,10,2.25E-07
135748,Levy,10,4.37E-07
162835,Levy,10,5.69E-09
192338,Levy,10,1.52E-06
224320,Levy,10,1.13E-06
258698,Levy,10,1.03E-09
295490,Levy,10,8.66E-07
334663,Levy,10,1.71E-07
376271,Levy,10,3.10E-08
420279,Levy,10,4.86E-07
466706,Levy,10,2.39E-07
515583,Levy,10,2.79E-07
566913,Levy,10,1.40E-06
620838,Levy,10,1.81E-05
677318,Levy,10,8.08E-08
736263,Levy,10,6.32E-08
797723,Levy,10,2.27E-08
861591,Levy,10,6.85E-09
927870,Levy,10,2.51E-06
996556,Levy,10,1.12E-05
1067642,Levy,10,2.29E-06
76,Levy,20,2.02E-07
2815,Levy,20,6.47E-07
7933,Levy,20,2.03E-05
15435,Levy,20,6.14E-05
25313,Levy,20,2.01E-05
37573,Levy,20,1.87E-06
52211,Levy,20,6.89E-07
69250,Levy,20,1.49E-06
88866,Levy,20,2.21E-05
111075,Levy,20,3.15E-06
135748,Levy,20,5.67E-07
162835,Levy,20,1.46E-04
192338,Levy,20,8.91E-06
224320,Levy,20,1.78E-06
258698,Levy,20,1.78E-06
295490,Levy,20,2.29E-08
334663,Levy,20,3.79E-06
